转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
loc[0.0_0.0_0.0_0.0]	11.236800	9.116500	1.196000	0.012647	9.801682	-0.002936	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.276982	0.338425	0.329288	0.000126	0.000070	0.000118	36
loc[180.0_0.0_0.0_0.0]	-11.746900	9.243900	-2.026200	0.011328	9.801680	-0.008542	-26.000000	-26.000000	-26.000000	-25.000000	-25.000000	-25.000000	0.287150	0.273018	0.344253	0.000082	0.000050	0.000099	36
loc[180.0_180.0_0.0_0.0]	11.205400	-10.061100	-2.052600	-0.011877	-9.800641	0.003836	-26.000000	-26.000000	-26.000000	-25.000000	-25.000000	-25.000000	0.241658	0.309661	0.271833	0.000120	0.000106	0.000141	36
loc[0.0_180.0_0.0_0.0]	-11.621300	-10.103300	1.500400	-0.013353	-9.800590	0.009088	-26.056389	-26.056389	-26.056389	-25.000000	-25.000000	-25.000000	0.312653	0.290146	0.317902	0.000072	0.000066	0.000090	36
loc[90.0_0.0_0.0_0.0]	1.521700	9.216400	-11.817400	0.014758	9.801646	-0.006375	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.239853	0.247427	0.296195	0.000116	0.000060	0.000114	36
loc[270.0_0.0_0.0_0.0]	-1.859000	9.353100	11.088400	0.009156	9.801624	-0.005136	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.256218	0.278952	0.268966	0.000107	0.000082	0.000111	36
loc[270.0_180.0_0.0_0.0]	-1.890600	-10.237200	-11.897700	-0.015237	-9.800636	0.005770	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.285729	0.327829	0.272189	0.000158	0.000080	0.000107	36
loc[90.0_180.0_0.0_0.0]	1.595600	-10.022800	11.198800	-0.010031	-9.800627	0.007257	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.323658	0.277467	0.380748	0.000129	0.000077	0.000082	36
loc[0.0_90.0_0.0_0.0]	9.424700	-12.028200	1.297000	9.800361	-0.013384	-0.051125	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.220374	0.303354	0.279564	0.000069	0.000137	0.000157	36
loc[180.0_90.0_0.0_0.0]	-9.836900	-11.887200	-1.969600	-9.801198	0.010991	0.052179	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.234368	0.271921	0.200084	0.000072	0.000149	0.000141	36
loc[180.0_270.0_0.0_0.0]	9.317300	10.916100	-2.008700	9.800307	-0.012412	-0.057410	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.287976	0.257999	0.359809	0.000050	0.000113	0.000110	36
loc[0.0_270.0_0.0_0.0]	-9.850100	10.906000	1.361900	-9.801153	0.011948	0.058540	-27.000000	-27.000000	-27.000000	-25.000000	-25.000000	-25.000000	0.287118	0.302099	0.360380	0.000053	0.000076	0.000114	36
