转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
loc[0.0_0.0_0.0_0.0]	11.697800	9.298400	1.524100	0.012853	9.802027	-0.002213	72.000000	72.000000	72.000000	73.449861	73.449861	73.449861	0.276437	0.338259	0.331416	0.000038	0.000051	0.000082	36
loc[180.0_0.0_0.0_0.0]	-11.333400	9.331100	-1.858100	0.011521	9.802028	-0.007758	72.000000	72.000000	72.000000	73.333056	73.333056	73.333056	0.331805	0.280115	0.280892	0.000030	0.000092	0.000072	36
loc[180.0_180.0_0.0_0.0]	11.652900	-9.943500	-1.994000	-0.011711	-9.800590	0.002599	72.000000	72.000000	72.000000	74.000000	74.000000	74.000000	0.261506	0.299127	0.388347	0.000149	0.000039	0.000123	36
loc[0.0_180.0_0.0_0.0]	-11.258800	-9.917200	1.606300	-0.013339	-9.800570	0.007995	72.000000	72.000000	72.000000	74.000000	74.000000	74.000000	0.290738	0.305670	0.300960	0.000121	0.000049	0.000084	36
loc[90.0_0.0_0.0_0.0]	1.745700	9.219800	-11.665000	0.014979	9.802020	-0.005576	72.000000	72.000000	72.000000	73.971667	73.971667	73.971667	0.269152	0.285370	0.274051	0.000126	0.000050	0.000105	36
loc[270.0_0.0_0.0_0.0]	-1.469100	9.280500	11.256600	0.009398	9.802032	-0.004248	72.841667	72.841667	72.841667	73.469306	73.469306	73.469306	0.328863	0.300046	0.260711	0.000027	0.000080	0.000114	36
loc[270.0_180.0_0.0_0.0]	-1.719000	-9.965400	-11.676000	-0.015218	-9.800563	0.004456	73.000000	73.000000	73.000000	74.000000	74.000000	74.000000	0.296573	0.252995	0.357530	0.000106	0.000048	0.000060	36
loc[90.0_180.0_0.0_0.0]	1.930000	-9.988700	11.261600	-0.009802	-9.800562	0.006104	73.000000	73.000000	73.000000	74.000000	74.000000	74.000000	0.301705	0.330364	0.376623	0.000145	0.000063	0.000107	36
loc[0.0_90.0_0.0_0.0]	9.842800	-11.739300	1.488900	9.800943	-0.013484	-0.051235	72.000000	72.000000	72.000000	74.000000	74.000000	74.000000	0.275121	0.244875	0.321241	0.000061	0.000130	0.000157	36
loc[180.0_90.0_0.0_0.0]	-9.501400	-11.828300	-1.821000	-9.801205	0.010907	0.051808	72.000000	72.000000	72.000000	74.000000	74.000000	74.000000	0.312135	0.344320	0.282563	0.000059	0.000185	0.000118	36
loc[180.0_270.0_0.0_0.0]	9.772600	11.090700	-1.860300	9.800932	-0.012276	-0.057563	72.000000	72.000000	72.000000	74.000000	74.000000	74.000000	0.386552	0.237401	0.334777	0.000046	0.000102	0.000130	36
loc[0.0_270.0_0.0_0.0]	-9.440800	11.241800	1.437300	-9.801204	0.012071	0.058194	72.000000	72.000000	72.000000	74.000000	74.000000	74.000000	0.247579	0.358546	0.384679	0.000056	0.000131	0.000094	36
