转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
spd[0.0_0.0_10.0_0.0]	-48.347200	-35987.553900	19.498300	0.018914	9.801536	-0.008514	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	8.354299	1.041375	8.263394	0.002066	0.000065	0.002041	36
spd[0.0_0.0_-10.0_0.0]	48.705600	36006.324700	-19.635300	0.018981	9.801627	-0.008577	-10.000000	-10.000000	-10.000000	-9.000000	-9.000000	-9.000000	8.347696	1.147131	8.172978	0.002036	0.000068	0.002039	36
spd[0.0_0.0_50.0_0.0]	-242.375300	-179974.574500	97.610000	0.186778	9.801423	-0.073442	-10.000000	-10.000000	-10.000000	-9.000000	-9.000000	-9.000000	7.998298	2.179724	7.940171	0.001980	0.000087	0.001986	36
spd[0.0_0.0_-50.0_0.0]	243.063700	179993.880300	-97.991700	0.186564	9.801458	-0.074172	-10.000000	-10.000000	-10.000000	-9.000000	-9.000000	-9.000000	8.022498	2.362158	8.149902	0.001983	0.000085	0.001998	36
spd[0.0_0.0_100.0_0.0]	-485.689000	-359957.097700	195.723600	0.711703	9.800696	-0.274630	-9.003750	-9.003750	-9.003750	-8.000000	-8.000000	-8.000000	7.257690	3.094049	7.317896	0.001775	0.000071	0.001740	36
spd[0.0_0.0_-100.0_0.0]	486.282000	359976.858700	-196.227600	0.709427	9.800717	-0.280772	-9.000000	-9.000000	-9.000000	-8.000000	-8.000000	-8.000000	7.243212	3.302366	7.258712	0.001770	0.000084	0.001762	36
spd[0.0_0.0_150.0_0.0]	-729.577200	-539940.562900	294.581900	1.587666	9.799447	-0.607296	-9.000000	-9.000000	-9.000000	-8.000000	-8.000000	-8.000000	6.125414	3.101852	6.136837	0.001536	0.000073	0.001559	36
spd[0.0_0.0_-150.0_0.0]	731.007800	539962.322400	-295.112200	1.579822	9.799445	-0.627859	-9.000000	-9.000000	-9.000000	-8.000000	-8.000000	-8.000000	6.056606	3.356783	6.260796	0.001568	0.000097	0.001504	36
spd[0.0_0.0_180.0_0.0]	-876.912900	-647931.548600	354.668100	2.282164	9.798459	-0.869019	-9.000000	-9.000000	-9.000000	-8.000000	-8.000000	-8.000000	4.047519	2.043407	6.280727	0.001805	0.000109	0.000565	36
spd[0.0_0.0_-180.0_0.0]	877.539800	647952.830800	-354.578600	2.268505	9.798454	-0.904549	-9.000000	-9.000000	-9.000000	-8.000000	-8.000000	-8.000000	7.051804	4.484810	2.572225	0.001170	0.000133	0.001483	36
spd[0.0_0.0_0.0_10.0]	197.767500	20.060600	35998.817500	-0.033185	-0.022694	0.003450	-9.000000	-9.000000	-9.000000	-7.650972	-7.650972	-7.650972	9.817661	11.835956	3.212904	7.025220	7.014084	0.039603	36
spd[0.0_0.0_0.0_-10.0]	-197.396800	-20.693100	-35995.693600	0.015794	0.053437	0.003276	-9.000000	-9.000000	-9.000000	-7.000000	-7.000000	-7.000000	11.826744	9.796675	3.205385	7.003340	7.035941	0.039472	36
spd[0.0_0.0_0.0_50.0]	988.549800	101.568600	179988.728100	0.151952	0.183827	0.002234	-8.982222	-8.982222	-8.982222	-7.000000	-7.000000	-7.000000	8.453799	17.386051	15.700882	6.796655	6.819027	0.038847	36
spd[0.0_0.0_0.0_-50.0]	-987.668100	-101.993800	-179984.708000	0.223626	0.142454	0.001834	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	16.307976	10.094903	14.739231	6.826582	6.788961	0.039882	36
spd[0.0_0.0_0.0_100.0]	1976.302700	203.314000	359974.902300	0.743527	0.548419	-0.001539	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	10.138604	23.220497	28.171020	6.190809	6.149607	0.035699	36
spd[0.0_0.0_0.0_-100.0]	-1975.497400	-203.740600	-359970.473100	0.677807	0.600184	-0.001249	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	20.749160	16.026499	25.528756	6.157500	6.182797	0.037872	36
spd[0.0_0.0_0.0_150.0]	2965.297100	307.628500	539962.073400	1.569382	1.324152	-0.006965	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	13.205347	27.385490	107.969428	5.120821	5.252630	0.030457	36
spd[0.0_0.0_0.0_-150.0]	-2964.094700	-307.312800	-539956.170300	1.585843	1.203853	-0.006847	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	23.152207	22.668886	163.972616	5.121095	5.252672	0.032835	36
spd[0.0_0.0_0.0_180.0]	3559.549700	371.350300	647953.646300	2.262692	1.887251	-0.011520	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	17.505983	27.666146	58.859488	6.176524	1.387846	0.034640	36
spd[0.0_0.0_0.0_-180.0]	-3558.692700	-371.263900	-647948.335600	2.243948	1.829591	-0.010962	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	8.076102	31.045579	235.692667	3.879793	5.000752	0.034479	36
spd[90.0_0.0_0.0_10.0]	35998.351700	-44.762000	-199.535200	0.002093	-0.029202	-0.036289	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	3.036886	11.111614	10.261359	0.039954	7.020227	7.019527	36
spd[90.0_0.0_0.0_-10.0]	-35994.601800	44.250600	199.370600	0.002589	0.011562	0.046043	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	2.985004	10.226023	11.259759	0.039872	7.002815	7.036882	36
spd[90.0_0.0_0.0_50.0]	179983.731300	-223.760500	-997.571800	0.002403	0.138782	-0.017764	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	15.045097	12.416509	8.924926	0.040185	6.788802	6.827141	36
spd[90.0_0.0_0.0_-50.0]	-179979.862300	223.085200	997.241300	0.002291	0.185214	-0.047773	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	14.037337	8.245856	13.029121	0.038622	6.820998	6.795128	36
spd[90.0_0.0_0.0_100.0]	359965.916700	-447.396100	-1995.459300	0.001557	0.611802	-0.267442	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	27.551506	12.690010	8.690193	0.038508	6.196845	6.143701	36
spd[90.0_0.0_0.0_-100.0]	-359962.230400	446.577500	1994.810300	0.001843	0.581883	-0.226746	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	24.225795	5.634718	14.491284	0.036080	6.152849	6.187565	36
spd[90.0_0.0_0.0_150.0]	539947.284600	-671.315200	-2993.582400	0.000702	1.273589	-0.545731	-8.000000	-8.000000	-8.000000	-7.000000	-7.000000	-7.000000	117.387910	10.981393	8.439332	0.034025	5.119558	5.253938	36
