转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
spd[0.0_0.0_10.0_0.0]	-44.488500	-35987.560300	19.807800	0.018289	9.801008	-0.008466	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	8.339044	1.202827	8.325042	0.002024	0.000085	0.002073	36
spd[0.0_0.0_-10.0_0.0]	44.530500	36006.638000	-20.145200	0.018315	9.801219	-0.008619	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	8.315317	1.224893	8.352812	0.002019	0.000072	0.002037	36
spd[0.0_0.0_50.0_0.0]	-222.276700	-179975.303700	100.736400	0.185939	9.801091	-0.073446	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	7.977374	2.372150	7.995081	0.001972	0.000085	0.002009	36
spd[0.0_0.0_-50.0_0.0]	223.046600	179995.724800	-101.896600	0.185707	9.801110	-0.074220	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	8.136767	2.342434	8.094534	0.001942	0.000056	0.002005	36
spd[0.0_0.0_100.0_0.0]	-445.793600	-359959.985700	204.362600	0.710229	9.800478	-0.274511	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	7.256038	2.366971	7.324231	0.001770	0.000088	0.001747	36
spd[0.0_0.0_-100.0_0.0]	446.455300	359982.743200	-206.250900	0.707979	9.800451	-0.280646	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	7.422422	2.895133	7.212748	0.001775	0.000105	0.001748	36
spd[0.0_0.0_150.0_0.0]	-669.907800	-539945.860000	310.287400	1.585319	9.799336	-0.606805	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	6.061261	2.704688	6.220167	0.001473	0.000101	0.001512	36
spd[0.0_0.0_-150.0_0.0]	671.303000	539969.176000	-312.401900	1.577418	9.799326	-0.627329	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	6.174948	2.802853	6.056538	0.001529	0.000123	0.001516	36
spd[0.0_0.0_180.0_0.0]	-806.909900	-647936.983500	376.966600	2.279020	9.798415	-0.868145	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	4.264748	2.508724	6.060279	0.001864	0.000115	0.000490	36
spd[0.0_0.0_-180.0_0.0]	805.098800	647962.387100	-377.534000	2.265314	9.798433	-0.903753	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	1.377492	3.163138	7.524025	0.001578	0.000099	0.000968	36
spd[0.0_0.0_0.0_10.0]	197.789600	21.132100	35998.650600	-0.031167	-0.025042	0.003354	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	9.795568	11.912615	3.423799	7.023126	7.015934	0.039623	36
spd[0.0_0.0_0.0_-10.0]	-197.856000	-21.608600	-35995.703000	0.013028	0.053822	0.002993	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	11.867724	9.824327	3.311297	7.002472	7.036483	0.039591	36
spd[0.0_0.0_0.0_50.0]	989.250200	106.155200	179986.857100	0.150561	0.183027	0.002127	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	7.521149	17.923215	16.253949	6.797971	6.817502	0.038572	36
spd[0.0_0.0_0.0_-50.0]	-988.668300	-106.413900	-179984.303400	0.223688	0.145115	0.001694	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	16.210004	10.424473	15.044254	6.826568	6.788923	0.039763	36
spd[0.0_0.0_0.0_100.0]	1977.295600	211.800300	359972.275700	0.733582	0.532671	-0.001509	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	9.406451	24.692401	29.252565	6.173261	6.167158	0.035729	36
spd[0.0_0.0_0.0_-100.0]	-1976.976100	-212.265200	-359970.732300	0.693805	0.606645	-0.001677	-51.571111	-51.571111	-51.571111	-50.000000	-50.000000	-50.000000	20.376334	17.631417	26.628130	6.145187	6.195996	0.037089	36
spd[0.0_0.0_0.0_150.0]	2966.037500	320.963400	539959.795000	1.613574	1.274859	-0.007458	-52.000000	-52.000000	-52.000000	-49.542639	-49.542639	-49.542639	15.700002	30.614454	114.004403	5.253255	5.119477	0.030569	36
spd[0.0_0.0_0.0_-150.0]	-2965.997900	-320.692400	-539954.533900	1.535527	1.235350	-0.006707	-51.346250	-51.346250	-51.346250	-49.362222	-49.362222	-49.362222	25.625010	27.380780	159.232448	5.236283	5.137622	0.034184	36
spd[0.0_0.0_0.0_180.0]	3559.706000	388.390000	647948.505600	2.258655	1.889071	-0.011651	-52.000000	-52.000000	-52.000000	-49.049583	-49.049583	-49.049583	19.001530	39.996542	66.971816	6.201618	1.269274	0.035018	36
spd[0.0_0.0_0.0_-180.0]	-3559.934800	-388.048300	-647946.521200	2.232946	1.812719	-0.011495	-51.383333	-51.383333	-51.383333	-49.207361	-49.207361	-49.207361	16.099465	26.358127	195.376001	1.709667	6.093183	0.017065	36
spd[90.0_0.0_0.0_10.0]	36003.182300	-40.974600	-199.872500	0.002468	0.010675	-0.050840	-52.000000	-52.000000	-52.000000	-49.432917	-49.432917	-49.432917	3.253797	11.143747	10.099058	0.039803	7.002499	7.036572	36
spd[90.0_0.0_0.0_-10.0]	-35999.705760	46.061760	206.506320	0.032789	-0.817750	5.607989	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	3.209108	7.929865	8.558884	0.021914	7.056601	3.449302	15
spd[90.0_0.0_0.0_50.0]	180008.855500	-205.136200	-998.357100	0.002563	0.101315	-0.037624	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	15.513882	13.368709	8.124362	0.039779	6.813528	6.801652	36
spd[90.0_0.0_0.0_-50.0]	-180004.195200	205.116200	997.970400	0.002723	0.153422	-0.020039	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	13.986516	8.114826	13.255890	0.038807	6.791375	6.823984	36
spd[90.0_0.0_0.0_100.0]	360015.556900	-411.400500	-1996.874600	0.002395	0.598381	-0.230899	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	27.614645	14.363527	6.529649	0.037630	6.169871	6.170180	36
spd[90.0_0.0_0.0_-100.0]	-360009.771300	411.281100	1995.691400	0.001862	0.532166	-0.231588	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	24.101236	6.314365	14.344515	0.035624	6.163063	6.176952	36
spd[90.0_0.0_0.0_150.0]	540020.295900	-618.197300	-2994.707300	0.001196	1.272681	-0.545108	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	124.575308	13.083315	4.339618	0.033651	5.119286	5.253618	36
spd[90.0_0.0_0.0_-150.0]	-540015.552500	617.375700	2993.221100	0.000401	1.262499	-0.657173	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	167.129862	5.462006	12.283286	0.030174	5.120446	5.253133	36
spd[90.0_0.0_0.0_180.0]	648023.199700	-742.358900	-3593.291200	0.000179	1.785086	-0.845915	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	80.667263	12.869491	0.644833	0.042678	1.383528	6.177758	36
