转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
spd[0.0_0.0_10.0_0.0]	-47.925800	-35989.644100	17.155900	0.018966	9.801735	-0.007496	49.000000	49.000000	49.000000	49.000000	49.000000	49.000000	8.229730	1.302913	8.265775	0.002061	0.000082	0.002051	36
spd[0.0_0.0_-10.0_0.0]	48.077800	36008.877700	-17.456100	0.018994	9.801677	-0.007486	49.384028	49.384028	49.384028	50.000000	50.000000	50.000000	8.299931	1.349503	8.295032	0.002042	0.000057	0.002044	36
spd[0.0_0.0_50.0_0.0]	-239.166600	-179985.521100	85.765700	0.187012	9.801457	-0.072450	50.000000	50.000000	50.000000	50.000000	50.000000	50.000000	7.964332	2.808571	8.069985	0.002017	0.000064	0.001964	36
spd[0.0_0.0_-50.0_0.0]	239.215700	180004.453700	-85.945100	0.186759	9.801495	-0.073203	50.000000	50.000000	50.000000	50.000000	50.000000	50.000000	8.020884	2.771295	8.117912	0.001971	0.000070	0.001955	36
spd[0.0_0.0_100.0_0.0]	-478.343400	-359978.615800	171.383200	0.712649	9.800816	-0.273948	50.000000	50.000000	50.000000	51.000000	51.000000	51.000000	7.286449	3.364644	7.304849	0.001747	0.000076	0.001775	36
spd[0.0_0.0_-100.0_0.0]	478.822300	359998.215100	-171.045100	0.710395	9.800826	-0.280040	50.000000	50.000000	50.000000	51.000000	51.000000	51.000000	7.252528	3.323885	7.311779	0.001800	0.000097	0.001736	36
spd[0.0_0.0_150.0_0.0]	-718.265300	-539970.215500	256.862300	1.589939	9.799681	-0.607025	50.000000	50.000000	50.000000	51.000000	51.000000	51.000000	5.974460	2.556277	6.217616	0.001543	0.000093	0.001488	36
spd[0.0_0.0_-150.0_0.0]	718.889200	539990.605200	-256.406600	1.581994	9.799696	-0.627650	50.000000	50.000000	50.000000	51.000000	51.000000	51.000000	6.140592	2.780698	6.083251	0.001540	0.000104	0.001512	36
spd[0.0_0.0_180.0_0.0]	-862.320400	-647963.921000	307.806800	2.285378	9.798783	-0.869058	51.000000	51.000000	51.000000	51.000000	51.000000	51.000000	7.001887	2.998178	2.245979	0.001029	0.000105	0.001433	36
spd[0.0_0.0_-180.0_0.0]	863.381200	647982.785700	-306.996100	2.271651	9.798778	-0.904650	51.000000	51.000000	51.000000	51.000000	51.000000	51.000000	3.776406	4.888071	6.526523	0.001824	0.000109	0.000437	36
spd[0.0_0.0_0.0_10.0]	197.838500	17.486400	35999.088100	-0.032130	-0.023578	0.003601	51.000000	51.000000	51.000000	51.302500	51.302500	51.302500	9.980283	11.622049	3.171854	7.024383	7.014839	0.039516	36
spd[0.0_0.0_0.0_-10.0]	-197.574100	-17.820500	-35995.918900	0.017239	0.053267	0.003208	51.000000	51.000000	51.000000	52.000000	52.000000	52.000000	11.604065	9.983749	3.171442	7.003649	7.035514	0.039578	36
spd[0.0_0.0_0.0_50.0]	988.839400	88.570100	179989.279600	0.166732	0.188624	0.002331	51.000000	51.000000	51.000000	52.000000	52.000000	52.000000	8.922400	16.514534	15.243568	6.789500	6.825902	0.038834	36
