转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
loc[0.0_0.0_0.0_0.0]	11.507200	9.228300	1.430500	0.012038	9.801438	-0.003068	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.274871	0.258349	0.338624	0.000108	0.000076	0.000129	36
loc[180.0_0.0_0.0_0.0]	-11.520000	9.436900	-1.857700	0.010556	9.801412	-0.008633	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.283185	0.265079	0.312959	0.000085	0.000076	0.000112	36
loc[180.0_180.0_0.0_0.0]	11.424000	-9.878400	-1.825500	-0.010880	-9.800411	0.003835	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.276690	0.313466	0.335393	0.000126	0.000070	0.000199	36
loc[0.0_180.0_0.0_0.0]	-11.459000	-9.901000	1.718200	-0.012399	-9.800400	0.009161	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.285530	0.237021	0.350592	0.000143	0.000066	0.000140	36
loc[90.0_0.0_0.0_0.0]	1.644800	9.031400	-11.590400	0.014089	9.801376	-0.006633	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.297296	0.322758	0.323393	0.000129	0.000063	0.000144	36
loc[270.0_0.0_0.0_0.0]	-1.741300	9.110700	11.277700	0.008566	9.801379	-0.005253	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.285601	0.345794	0.271685	0.000139	0.000078	0.000107	36
loc[270.0_180.0_0.0_0.0]	-1.812071	-9.813812	-11.635835	-0.014327	-9.800541	0.005857	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.307592	0.300852	0.353312	0.000161	0.000067	0.000102	17
loc[90.0_180.0_0.0_0.0]	1.815264	-10.158480	11.363328	-0.008995	-9.800519	0.007381	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.244388	0.199759	0.313731	0.000088	0.000080	0.000148	25
loc[0.0_90.0_0.0_0.0]	9.584800	-11.683300	1.562900	9.800109	-0.012405	-0.050939	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.287403	0.275850	0.329377	0.000085	0.000122	0.000113	36
loc[180.0_90.0_0.0_0.0]	-9.644200	-11.797300	-1.761000	-9.800899	0.009886	0.051813	-52.475972	-52.475972	-52.475972	-50.000000	-50.000000	-50.000000	0.271746	0.316202	0.293828	0.000068	0.000190	0.000125	36
loc[180.0_270.0_0.0_0.0]	9.519800	11.106100	-1.789300	9.800098	-0.011331	-0.057324	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.290871	0.274625	0.353998	0.000074	0.000148	0.000136	36
loc[0.0_270.0_0.0_0.0]	-9.632200	11.243100	1.715200	-9.800860	0.010976	0.058190	-52.000000	-52.000000	-52.000000	-50.000000	-50.000000	-50.000000	0.302291	0.265947	0.304774	0.000071	0.000097	0.000136	36
